P80 (micras),TONS/DIA  HUMEDAS,% HUMEDAD,TONS/DIA  SECAS,HORAS,TONS/Hr  SECAS,Gcab-Au,Gcab-Ag,Gcab-Pb,Gcab-Zn,Gcab-Cu,Gcab-Fe,Gcab-As,Gcab-Pb ox,Gcab-Zn ox,Gcab-PbS,Gcab-PbO,Gcab-ZnS,Gcab-ZnO,GC-Au,GC-Ag,GC-Pb,GC-Zn,GC-Cu,GC-Fe,GC-As,R-Au,R-Ag,R-Pb,R-Zn,R-Cu,R-Fe,R-As,GC-Pb ox,GC-Zn ox,GC-PbS,GC-PbO,GC-ZnS,GC-ZnO,COMPOSITO DÍA,,Gcu-Au,Gcu-Ag,Gcu-Pb,Gcu-Zn,Gcu-Cu,Gcu-Fe,Gcu-As,Rcu-Au,Rcu-Ag,Rcu-Pb,Rcu-Zn,Rcu-Cu,Rcu-Fe,Rcu-As,GCzn-Au,GCzn-Ag,GCzn-Pb,GCzn-Zn,GCzn-Cu,GCzn-Fe,GCzn-As,Rzn-Au,Rzn-Ag,Rzn-Pb,Rzn-Zn,Rzn-Cu,Rzn-Fe,Rzn-As,GPb-Au,GPb-Ag,GPb-Pb,GPb-Zn,GPb-Cu,GPb-Fe,GPb-As,RPb-Au,RPb-Ag,RPb-Pb,RPb-Zn,RPb-Cu,RPb-Fe,RPb-As,GPb-Pb ox,GPb-Zn ox,GPb-PbS,GPb-PbO,GPb-ZnS,GPb-ZnO
169,1523,2,1494,6.33,235.82,0.23,49,1.24,2.24,0.25,3.2,0.02,0.06,0.03,95.16,4.84,98.7,1.34,0.08,4,0.17,0.15,0.04,3,0.02,38.52,9.18,12.9,6.3,13.92,87.08,88.07,0.09,0.04,47.06,52.94,73.3,26.67,0.26,3.96,2.7,754,2.56,2.96,33.4,27.6,0.02,3.66,4.87,0.55,0.35,35.39,2.26,0.25,0.31,188,3.96,50.6,1.32,5.6,0.02,6.26,18.09,12.6,89.13,20.83,6.82,3.69,5.9,1629,53.7,5.54,4.37,7.3,0.1,51.56,67.86,73.95,4.22,29.85,3.85,7.99,0.93,0.03,98.27,1.73,99.5,0.54
166,1663,3,1621,8,202.66,0.19,35,0.94,1.96,0.23,2.8,0.02,0.08,0.06,91.49,8.51,96.9,3.06,0.08,10,0.14,0.16,0.05,2.6,0.02,35.16,22.54,14.14,7.75,19.15,86.68,85.98,0.07,0.06,50,50,62.5,37.5,0.35,5.69,5.5,633,7.14,5.58,27.1,26.5,0.06,8.93,5.27,2.67,1,41.7,3.26,0.95,0.4,213,4.36,49.8,1.55,6.1,0.04,6.36,17.38,15.94,87.33,23.36,7.36,6.22,8.5,1833,50.2,6.1,2.86,6.1,0.12,49.54,54.8,67.25,3.92,15.79,2.7,6.84,0.68,0.06,98.65,1.35,99,0.98
168,1674,2,1637,8,204.57,0.2,28.2,0.92,1.77,0.16,3.1,0.03,0.15,0.07,83.7,16.3,96,3.95,0.07,4,0.23,0.32,0.05,2.9,0.03,36.75,14.08,23.97,17.33,28.76,90.97,92.31,0.1,0.05,56.52,43.48,84.4,15.63,0.13,2.14,17.8,941,3.5,5.64,29.7,25,0.06,10.03,2.61,0.45,0.34,20.89,1.01,0.36,0.33,114,2.68,48.9,0.85,6.1,0.04,4.95,11.47,7.98,75.7,14.56,5.47,3.52,7.1,1535,49.4,8.92,4.49,6.4,0.1,48.59,70.43,67.12,6.3,35.08,2.62,4.01,0.8,0.05,98.38,1.62,99.4,0.56
172,1639,2,1603,7.67,209.08,0.21,43.2,1.03,2.19,0.19,3.3,0.02,0.09,0.04,91.26,8.74,98.2,1.83,0.09,10,0.13,0.17,0.04,3.1,0.02,35.92,19.63,11.94,7.34,20.41,89.06,84.76,0.1,0.06,23.08,76.92,64.7,35.29,0.13,2.14,17.8,941,3.5,5.64,29.7,25,0.06,10.03,2.61,0.45,0.34,20.89,1.01,0.36,0.46,181,2.96,50.8,1.52,6.2,0.04,7.28,14.09,10.78,86.99,30,7.06,6.72,7.3,2020,52.1,7.68,3.59,6.2,0.12,46.77,63.67,76.83,5.33,28.7,2.86,8.17,0.75,0.05,98.56,1.44,99.3,0.65
170,1568,2,1532,8,191.49,0.24,40.7,0.95,1.76,0.25,3.2,0.03,0.12,0.1,87.37,12.63,94.3,5.68,0.12,8,0.2,0.3,0.06,3,0.03,48.94,17.13,20.01,16.2,22.43,86.64,84.81,0.11,0.08,45,55,73.3,26.67,0.31,4.81,4.4,734,6.06,2.18,28.3,28.1,0.06,5.92,5.19,2,0.39,35.51,2.68,0.56,0.54,142,2.08,41.8,1.16,7.6,0.1,7.59,10.48,7.17,77.8,15.2,7.57,9.74,6.4,2181,49.2,7.22,4.91,7.5,0.12,37.55,67.2,70.82,5.61,26.86,3.12,4.88,1.03,0.05,97.91,2.09,99.3,0.69
161,1628,0,1597,6.67,239.5,0.2,53.8,1.03,1.9,0.26,3.1,0.04,0.06,0.05,94.17,5.83,97.4,2.63,0.06,8,0.1,0.16,0.04,2.7,0.04,28.64,13.51,9.12,7.91,15.89,80.61,81.33,0.06,0.05,40,60,68.8,31.25,0.12,1.97,2.9,690,4.12,2.8,29.9,28,0.08,1.81,1.53,0.49,0.18,14.15,1.1,0.21,0.63,106,0.98,42,1.4,9.3,0.12,11.83,7.05,3.52,81.7,19.9,10.93,9.6,5,1907,39.4,8.54,5.73,10.2,0.18,57.71,77.91,86.87,10.21,50.05,7.36,8.85,0.79,0.05,97.99,2.01,99.4,0.59
165,1151,2,1124,6.67,168.59,0.24,46.4,1.01,2.05,0.23,3.4,0.04,0.14,0.07,86.14,13.86,96.6,3.41,0.1,9,0.19,0.28,0.05,3.2,0.04,36.23,19.05,17.92,13.01,18.64,90.07,91.15,0.11,0.07,42.11,57.89,75,25,0.16,1.75,2.7,566,5.4,10.52,26,23.1,0.04,1.6,1.96,0.83,0.8,17.63,1.06,0.15,0.61,173,2.84,52.2,1.37,5.7,0.04,6.4,10.6,7.75,70.2,16.42,4.64,2.64,8.1,1700,41,18.1,6.01,7.9,0.14,55.77,68.39,73.49,15.98,47.31,4.23,6.06,0.98,0.06,97.61,2.39,99.7,0.33
189,1574,2,1540,6.67,230.99,0.26,48,1.08,1.82,0.29,3.3,0.03,0.23,0.11,78.7,21.3,94,6.04,0.14,11,0.27,0.39,0.1,3.1,0.03,49.62,23.56,23.93,20.51,33.33,90.89,88.61,0.16,0.11,40.74,59.26,71.8,28.21,0.28,4.32,6.4,540,2.2,2.06,33.1,28.6,0.02,6.65,3.39,0.57,0.32,32.01,2.46,0.17,0.25,106,1.82,53.6,0.81,4.7,0.04,2.37,6.06,4.31,75.25,7.14,3.68,3.15,7.7,2063,53,4.92,5.5,6.7,0.18,41.37,66.98,71.19,3.92,27.51,2.98,8.06,1.37,0.04,97.42,2.58,99.2,0.81
167,1600,2,1568,8,196.02,0.2,41,1.12,2.15,0.23,3.2,0.03,0.11,0.06,90.18,9.82,97.2,2.79,0.08,6,0.13,0.23,0.03,2.9,0.03,38.55,14.1,10.97,10.11,13.15,86.82,89.23,0.06,0.04,53.85,46.15,82.6,17.39,0.37,5.77,2.6,673,7.7,1.28,30.9,26.2,0.02,4.88,6.15,2.53,0.22,49.43,3.05,0.23,0.27,85,1.56,52.7,0.93,6.7,0.04,4.75,7.3,4.81,84.67,13.97,7.33,4.35,6.2,1778,55.8,6.55,3.29,5.4,0.12,51.82,72.45,81.69,4.99,23.45,2.8,6.19,0.74,0.03,98.67,1.33,99.5,0.46
168,1665,2,1632,8,204.03,0.2,38,1.22,2.08,0.22,2.9,0.04,0.1,0.06,91.8,8.2,97.1,2.88,0.08,6,0.17,0.23,0.05,2.7,0.04,36.43,13.86,13.15,10.44,20.16,86.83,87.88,0.09,0.05,47.06,52.94,78.3,21.74,0.35,5.78,10,993,17.7,3.6,24.4,22.8,0.08,17.1,8.61,5.14,0.61,39.3,2.75,0.66,0.41,134,2.76,48.4,0.98,5.7,0.06,6.95,11.52,7.94,81.7,15.64,6.82,4.9,4.65,1531,51.1,8.56,3.11,6,0.16,39.52,66.01,73.77,7.25,24.9,3.6,6.56,0.55,0.03,98.92,1.08,99.6,0.35
